ID,Function_outcome,Behavior_outcome,Data_outcome,F_outcome,UserRelated_outcome,predicted_pattern,pattern_frequency,predicted_positive_count,hierarchy_violation,label_errors
UC37.txt.flow_of_events.2,FP,FP,TN,TP,FN,11010,139,3,0,3
UC37.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC37.txt.name,TP,TP,FN,TP,TN,11010,139,3,0,1
UC37.txt.postcondition,TP,TP,TN,TP,TN,11010,139,3,0,0
UC37.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC38.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC38.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC38.txt.flow_of_events.0,FN,TN,TN,TP,TP,00011,28,2,0,1
UC38.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC38.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC38.txt.flow_of_events.3,TP,TP,FP,TP,TN,11110,140,4,0,1
UC38.txt.flow_of_events.4,TN,TP,TN,TP,TN,01010,86,2,0,0
UC38.txt.flow_of_events.5,FP,FP,TN,TP,FN,11010,139,3,0,3
UC38.txt.flow_of_events.6,FN,TP,FN,TP,TN,01010,86,2,0,2
UC38.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC38.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC38.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC39.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC39.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC39.txt.flow_of_events.0,FN,TN,TN,TP,TP,00011,28,2,0,1
UC39.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC39.txt.flow_of_events.2,FP,TN,FN,TP,TP,10011,12,3,0,2
UC39.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC39.txt.flow_of_events.4,FP,FP,TN,TP,TP,11011,13,4,0,2
UC39.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC39.txt.flow_of_events.6,TN,TP,TN,TP,TN,01010,86,2,0,0
UC39.txt.flow_of_events.7,FP,FP,TN,TP,FN,11010,139,3,0,3
UC39.txt.flow_of_events.8,TP,TP,FP,TP,FN,11110,140,4,0,2
UC39.txt.name,TP,TP,FN,TP,TN,11010,139,3,0,1
UC39.txt.postcondition,TP,TP,FN,TP,TP,11011,13,4,0,1
UC39.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC40.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC40.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC40.txt.flow_of_events.0,TP,TN,TN,TP,TP,10011,12,3,0,0
UC40.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC40.txt.flow_of_events.2,TN,TN,FN,TP,TP,00011,28,2,0,1
UC40.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC40.txt.flow_of_events.4,TN,FP,TN,TP,FN,01010,86,2,0,2
UC40.txt.flow_of_events.5,TP,TP,FN,TP,TN,11010,139,3,0,1
UC40.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC40.txt.postcondition,TP,TP,FN,TP,TP,11011,13,4,0,1
UC40.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC41.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC41.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC41.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC41.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC41.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC41.txt.flow_of_events.3,TP,TP,FN,TP,TN,11010,139,3,0,1
UC41.txt.flow_of_events.4,FP,FP,FN,TP,TP,11011,13,4,0,3
UC41.txt.flow_of_events.5,TP,TP,TN,TP,TN,11010,139,3,0,0
UC41.txt.flow_of_events.6,TN,TP,TN,TP,TN,01010,86,2,0,0
UC41.txt.flow_of_events.7,TN,FP,TN,TP,FN,01010,86,2,0,2
UC41.txt.flow_of_events.8,TP,TP,TP,TP,FN,11110,140,4,0,1
UC41.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC41.txt.postcondition,TP,TP,TP,TP,TP,11111,14,5,0,0
UC41.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC42.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC42.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC42.txt.flow_of_events.0,TP,TN,TN,TP,FN,10010,4,2,0,1
UC42.txt.flow_of_events.1,TP,TP,FP,TP,TN,11110,140,4,0,1
UC42.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC42.txt.flow_of_events.3,FP,TP,TN,TP,FP,11011,13,4,0,2
UC42.txt.flow_of_events.4,TN,FP,TN,TP,FN,01010,86,2,0,2
UC42.txt.flow_of_events.5,TP,TP,TP,TP,TN,11110,140,4,0,0
UC42.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC42.txt.postcondition,TP,TP,FP,TP,TP,11111,14,5,0,1
UC42.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC43.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC43.txt.description,FN,TP,TP,TP,TN,01110,26,3,0,1
UC43.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC43.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC43.txt.flow_of_events.2,TN,TN,TN,TP,FN,00010,8,1,0,1
UC43.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC43.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC43.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC43.txt.flow_of_events.6,TP,TP,FN,TP,TN,11010,139,3,0,1
UC43.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC43.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC43.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC44.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC44.txt.description,TP,TP,FN,TP,TN,11010,139,3,0,1
UC44.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC44.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC44.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC44.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC44.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC44.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC44.txt.flow_of_events.6,TP,TP,TN,TP,TN,11010,139,3,0,0
UC44.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC44.txt.postcondition,TN,TP,TN,TP,TP,01011,11,3,0,0
UC44.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC45.txt.actor,FP,FP,TN,FP,FN,11010,139,3,0,4
UC45.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC45.txt.flow_of_events.0,TP,TN,TN,TP,TP,10011,12,3,0,0
UC45.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC45.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC45.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC45.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC46.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC46.txt.description,TP,TP,TP,TP,FN,11110,140,4,0,1
UC46.txt.flow_of_events.0,TP,TN,FP,TP,FN,10110,5,3,0,2
UC46.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC46.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC46.txt.flow_of_events.3,FP,TP,TN,TP,FP,11011,13,4,0,2
UC46.txt.flow_of_events.4,FP,FP,TN,TP,FN,11010,139,3,0,3
UC46.txt.flow_of_events.5,FN,TP,TP,TP,TN,01110,26,3,0,1
UC46.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC46.txt.postcondition,TP,TP,FP,TP,TP,11111,14,5,0,1
UC46.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC47.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC47.txt.description,FN,TP,TP,TP,FN,01110,26,3,0,2
UC47.txt.flow_of_events.0,TP,TN,TN,TP,FN,10010,4,2,0,1
UC47.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC47.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC47.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC47.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC47.txt.flow_of_events.5,FP,FP,TN,TP,FN,11010,139,3,0,3
UC47.txt.flow_of_events.6,TP,TP,TN,TP,TN,11010,139,3,0,0
UC47.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC47.txt.postcondition,FN,TP,TN,TP,TP,01011,11,3,0,1
UC47.txt.precondition,TN,TN,TN,TN,FN,00000,7,0,0,1
UC48.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC48.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC48.txt.flow_of_events.0,TP,TN,FP,TP,FN,10110,5,3,0,2
UC48.txt.flow_of_events.1,TP,TN,FN,TP,FN,10010,4,2,0,2
UC48.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC48.txt.flow_of_events.3,FP,FN,TN,TP,FP,10011,12,3,0,3
UC48.txt.flow_of_events.4,TN,FP,TN,TP,FN,01010,86,2,0,2
UC48.txt.flow_of_events.5,FN,FN,TP,FN,TN,00100,5,1,1,3
UC48.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC48.txt.postcondition,FN,TP,FP,TP,TP,01111,13,4,0,2
UC48.txt.precondition,TN,TN,TN,TN,FN,00000,7,0,0,1
UC49.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC49.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC49.txt.flow_of_events.0,TP,TN,TP,TP,TP,10111,6,4,0,0
UC49.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC49.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC49.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC49.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC50.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC50.txt.description,TP,TP,TP,TP,FN,11110,140,4,0,1
UC50.txt.flow_of_events.0,TP,TN,TP,TP,TP,10111,6,4,0,0
UC50.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC50.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC50.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC50.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC51.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC51.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC51.txt.flow_of_events.0,TP,FP,FP,TP,FN,11110,140,4,0,3
UC51.txt.flow_of_events.1,TP,TP,TN,TP,FN,11010,139,3,0,1
UC51.txt.flow_of_events.2,TP,TP,TP,TP,FN,11110,140,4,0,1
UC51.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC51.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC51.txt.precondition,TN,TN,FP,TN,FN,00100,5,1,1,2
UC52.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC52.txt.description,TP,TP,TP,TP,FN,11110,140,4,0,1
UC52.txt.flow_of_events.0,TP,TN,TP,TP,TP,10111,6,4,0,0
UC52.txt.flow_of_events.1,TP,TP,TN,TP,FN,11010,139,3,0,1
UC52.txt.flow_of_events.2,TP,TP,TP,TP,FN,11110,140,4,0,1
UC52.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC52.txt.postcondition,TN,TP,FP,TP,TP,01111,13,4,0,1
UC52.txt.precondition,TN,TN,FP,TN,FN,00100,5,1,1,2
UC53.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC53.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC53.txt.flow_of_events.0,FP,FP,TN,TP,FN,11010,139,3,0,3
UC53.txt.flow_of_events.1,TP,TP,TN,TP,FP,11011,13,4,0,1
UC53.txt.flow_of_events.2,TN,TP,FP,TP,FP,01111,13,4,0,2
UC53.txt.flow_of_events.3,TN,TN,TN,TP,TP,00011,28,2,0,0
UC53.txt.flow_of_events.4,TP,TP,TN,TP,TN,11010,139,3,0,0
UC53.txt.flow_of_events.5,FP,TP,TN,TP,TN,11010,139,3,0,1
UC53.txt.flow_of_events.6,TN,FP,TN,TP,FN,01010,86,2,0,2
UC53.txt.flow_of_events.7,TP,TP,TP,TP,FP,11111,14,5,0,1
UC53.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC53.txt.postcondition,TP,TP,TN,TP,TP,11011,13,4,0,0
UC53.txt.precondition,TN,TN,FP,TN,FN,00100,5,1,1,2
UC54.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC54.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC54.txt.flow_of_events.0,TP,TN,TN,TP,TP,10011,12,3,0,0
UC54.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC54.txt.flow_of_events.2,FP,TP,TN,TP,TN,11010,139,3,0,1
UC54.txt.flow_of_events.3,FP,FP,TN,TP,FN,11010,139,3,0,3
UC54.txt.flow_of_events.4,TP,TP,TP,TP,FN,11110,140,4,0,1
UC54.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC54.txt.postcondition,FN,TP,FP,TP,TN,01110,26,3,0,2
UC54.txt.precondition,TN,TN,FP,TN,FN,00100,5,1,1,2
UC55.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC55.txt.flow_of_events.0,TP,TP,FP,TP,FP,11111,14,5,0,2
UC55.txt.flow_of_events.1,FP,FP,TN,TP,FN,11010,139,3,0,3
UC55.txt.flow_of_events.2,FN,TP,TN,TP,TN,01010,86,2,0,1
UC55.txt.name,FN,FP,FP,TP,TN,01110,26,3,0,3
UC55.txt.postcondition,TN,TP,TN,TP,FN,01010,86,2,0,1
UC55.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC56.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC56.txt.description,TP,TP,FP,TP,TN,11110,140,4,0,1
UC56.txt.flow_of_events.0,TN,TP,TN,TP,TN,01010,86,2,0,0
UC56.txt.flow_of_events.1,FP,TP,FP,TP,TN,11110,140,4,0,2
UC56.txt.flow_of_events.2,TN,TP,TN,TP,TN,01010,86,2,0,0
UC56.txt.name,TP,TP,TN,TP,TN,11010,139,3,0,0
UC56.txt.postcondition,FP,TP,FP,TP,TN,11110,140,4,0,2
UC56.txt.precondition,TN,TN,TN,FP,TP,00011,28,2,0,1
UC56.txt.quality_requirement,TN,TN,TN,FP,TN,00010,8,1,0,1
UC57.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC57.txt.description,TP,FN,TN,TP,TP,10011,12,3,0,1
UC57.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC57.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC57.txt.flow_of_events.2,FP,TN,TN,TP,TP,10011,12,3,0,1
UC57.txt.flow_of_events.3,FP,TP,TN,TP,TN,11010,139,3,0,1
UC57.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC57.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC57.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC57.txt.quality_requirement,TN,TN,TN,TN,TN,00000,7,0,0,0
UC58.txt.actor,TN,TN,TN,TN,TP,00001,51,1,0,0
UC58.txt.description,TP,TP,FP,TP,TN,11110,140,4,0,1
UC58.txt.flow_of_events.0,FN,TN,TN,TP,TP,00011,28,2,0,1
UC58.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC58.txt.name,TP,TP,FP,TP,TN,11110,140,4,0,1
UC58.txt.postcondition,TN,TP,FP,TP,TN,01110,26,3,0,1
UC58.txt.precondition,TN,TN,FP,TN,TP,00101,1,2,1,1
